ancestr1d,white,black,indig,asian,latino,mixed,other,raceshort,rancestry1,rancestry1s
"Okinawan",69,1,2,1071,4,146,2,1295,4,4
"Korean",2742,139,30,150160,327,6618,189,160205,4,4
"Laotian",114,10,15,20393,82,1022,21,21657,4,4
"Hmong",30,3,7,18165,36,447,8,18696,4,4
"Malaysian (1990-2000, ACS, PRCS)",55,13,11,2482,12,148,13,2734,4,4
"Thai",650,32,20,16272,52,1659,42,18727,4,4
"Taiwanese",251,24,14,35599,47,1041,26,37002,4,4
"Vietnamese, Annamese",939,44,26,146569,317,3030,95,151020,4,4
"Eurasian",448,0,1,68,31,545,357,1450,4,4
"Amerasian (1990-2000, ACS, PRCS)",85,5,0,60,4,287,189,630,4,4
"Asian",2339,543,204,38355,321,4463,280,46505,4,4
"Australian",6269,29,6,14,19,80,7,6424,1,1
"New Zealander",1504,2,12,3,5,72,0,1598,1,1
"Polynesian (1990-2000, ACS, PRCS)",186,6,701,21,18,207,3,1142,5,3
"Hawaiian",1794,61,14113,213,1294,7079,20,24574,5,3
"Samoan (1990-2000, ACS, PRCS)",246,113,7287,16,103,958,12,8735,5,3
"Tongan",23,17,3207,10,26,294,0,3577,5,3
"Micronesian (1990-2000, ACS, PRCS)",11,0,1158,1,7,50,6,1233,5,3
"Guamanian",242,18,2815,20,203,582,10,3890,5,3
"Chamorro Islander",40,8,2077,4,51,194,0,2374,5,3
"Marshall Islander",0,0,130,0,1,10,0,141,5,3
"Fijian",22,13,1287,216,13,280,36,1867,5,3
"Pacific Islander (1990-2000, ACS, PRCS)",468,34,1427,876,114,839,23,3781,5,3
"Afro-American (1990-2000, ACS, PRCS)",454,85942,49,14,367,1238,286,88350,2,2
"Black (1990-2000, ACS, PRCS)",1437,274781,147,40,1980,9144,413,287942,2,2
"Negro (1990-2000, ACS, PRCS)",52,12065,12,6,68,148,10,12361,2,2
"Creole (1990-2000, ACS, PRCS)",245,1264,4,3,43,338,414,2311,2,2
"Afro",19,1193,3,0,11,41,5,1272,2,2
"African-American (1990-2000, ACS, PRCS)",8309,2730819,1267,210,9783,34527,1671,2786586,2,2
"Central American Indian (1990-2000, ACS, PRCS)",70,71,102,83,1508,73,26,1933,3,3
"South Amerianc Indian (1990-2000, ACS, PRCS)",56,35,118,18,598,48,55,928,3,3
"American Indian  (all tribes)",105476,6596,159786,570,5333,35929,313,314003,3,3
"Cherokee",27704,1941,10555,11,230,7803,25,48269,3,3
"Native American",44896,2732,88328,39,3034,12333,148,151510,3,3
"Indian",58411,7369,117,14207,740,1564,1409,83817,3,3
"Aleut",37,4,1274,0,4,127,0,1446,3,3
"Eskimo",264,7,12092,1,36,650,1,13051,3,3
"White/Caucasian (1990-2000, ACS, PRCS)",1044967,998,473,206,8454,4100,179,1059377,1,1
"Anglo (1990-2000, ACS, PRCS)",68101,23,15,7,224,144,12,68526,1,1
"Appalachian (1990-2000, ACS, PRCS)",1905,0,1,1,6,16,5,1934,1,1
"French Canadian",167434,265,606,15,237,782,31,169370,1,1
"Acadian (1990-2000, ACS, PRCS)",1173,5,0,1,0,9,1,1189,1,1
"Cajun (1990-2000, ACS, PRCS)",8394,110,9,1,20,94,6,8634,1,1
